,Team,POWER,Record,PCT,Avg Goal Differential,GF/Game,GA/Game,Strength of Schedule
1,Boston Bruins,1.53,38-7-5,0.810,1.56,3.74,2.18,-0.031
2,New Jersey Devils,0.83,32-13-4,0.694,0.82,3.49,2.67,0.009
3,Dallas Stars,0.76,28-13-10,0.647,0.78,3.39,2.61,-0.028
4,Toronto Maple Leafs,0.74,31-12-8,0.686,0.73,3.39,2.67,0.016
5,Carolina Hurricanes,0.69,33-9-8,0.740,0.66,3.36,2.70,0.025
6,Tampa Bay Lightning,0.68,32-15-1,0.677,0.71,3.65,2.94,-0.030
7,New York Rangers,0.54,27-14-8,0.633,0.57,3.20,2.63,-0.035
8,Seattle Kraken,0.51,29-15-5,0.643,0.53,3.61,3.08,-0.016
9,Winnipeg Jets,0.47,32-19-1,0.625,0.56,3.19,2.63,-0.086
10,Edmonton Oilers,0.44,28-18-4,0.600,0.5,3.74,3.24,-0.063
11,Buffalo Sabres,0.37,26-19-4,0.571,0.41,3.78,3.37,-0.033
12,Colorado Avalanche,0.37,27-18-3,0.594,0.38,3.15,2.77,-0.002
13,Washington Capitals,0.29,27-20-6,0.566,0.26,3.13,2.87,0.025
14,Pittsburgh Penguins,0.24,24-16-9,0.582,0.16,3.29,3.12,0.079
15,Minnesota Wild,0.19,27-17-4,0.604,0.27,3.15,2.88,-0.078
16,Vegas Golden Knights,0.18,29-18-4,0.608,0.24,3.14,2.90,-0.055
17,New York Islanders,0.09,25-22-5,0.529,0.08,2.85,2.77,0.017
18,Calgary Flames,0.09,24-17-9,0.570,0.1,3.14,3.04,-0.015
19,Florida Panthers,0.01,24-22-6,0.519,-0.1,3.42,3.52,0.105
20,Nashville Predators,-0.13,24-18-6,0.562,-0.08,2.85,2.94,-0.044
21,Ottawa Senators,-0.15,24-23-3,0.510,-0.16,3.02,3.18,0.013
22,Los Angeles Kings,-0.16,28-18-7,0.594,-0.19,3.26,3.45,0.028
23,Detroit Red Wings,-0.35,21-19-8,0.521,-0.31,3.02,3.33,-0.040
24,Philadelphia Flyers,-0.36,21-21-9,0.500,-0.39,2.78,3.18,0.034
25,Vancouver Canucks,-0.53,20-26-3,0.439,-0.57,3.37,3.94,0.040
26,St. Louis Blues,-0.54,23-25-3,0.480,-0.57,3.06,3.63,0.025
27,San Jose Sharks,-0.82,15-25-11,0.402,-0.76,3.08,3.84,-0.060
28,Arizona Coyotes,-0.89,16-28-6,0.380,-0.92,2.62,3.54,0.031
29,Montréal Canadiens,-1.06,20-27-4,0.431,-1.08,2.63,3.71,0.019
30,Chicago Blackhawks,-1.17,15-29-4,0.354,-1.21,2.46,3.67,0.041
31,Columbus Blue Jackets,-1.27,15-32-4,0.333,-1.31,2.57,3.88,0.046
32,Anaheim Ducks,-1.54,16-29-5,0.370,-1.6,2.50,4.10,0.056
