Opponent,Record,PCT,Win Probability,Lose by 5+,Lose by 4,Lose by 3,Lose by 2,Lose by 1,Win by 1,Win by 2,Win by 3,Win by 4,Win by 5+
Boston Bruins,38-7-5,0.810,31.48%,9.54%,7.59%,11.70%,15.42%,24.27%,17.13%,6.47%,3.70%,2.00%,2.18%
Carolina Hurricanes,33-9-8,0.740,44.76%,5.64%,4.85%,8.18%,12.36%,24.20%,21.95%,9.70%,5.96%,3.37%,3.78%
New Jersey Devils,32-13-4,0.694,42.45%,6.17%,5.24%,8.74%,12.93%,24.47%,21.25%,9.12%,5.52%,3.10%,3.45%
Toronto Maple Leafs,31-12-8,0.686,43.82%,5.85%,5.00%,8.41%,12.59%,24.32%,21.68%,9.47%,5.78%,3.25%,3.64%
Tampa Bay Lightning,32-15-1,0.677,44.88%,5.62%,4.83%,8.16%,12.33%,24.19%,21.99%,9.73%,5.98%,3.38%,3.80%
Dallas Stars,28-13-10,0.647,43.59%,5.90%,5.04%,8.46%,12.65%,24.35%,21.61%,9.41%,5.73%,3.23%,3.61%
Seattle Kraken,29-15-5,0.643,47.62%,5.06%,4.40%,7.53%,11.63%,23.75%,22.72%,10.42%,6.52%,3.73%,4.22%
New York Rangers,27-14-8,0.633,47.26%,5.13%,4.45%,7.61%,11.73%,23.82%,22.63%,10.33%,6.45%,3.68%,4.16%
Winnipeg Jets,32-19-1,0.625,48.33%,4.93%,4.29%,7.38%,11.45%,23.62%,22.90%,10.61%,6.67%,3.82%,4.34%
Vegas Golden Knights,29-18-4,0.608,53.24%,4.08%,3.62%,6.35%,10.21%,22.50%,23.90%,11.85%,7.72%,4.53%,5.23%
Minnesota Wild,27-17-4,0.604,53.03%,4.12%,3.64%,6.39%,10.26%,22.56%,23.87%,11.80%,7.68%,4.50%,5.19%
Edmonton Oilers,28-18-4,0.600,48.92%,4.82%,4.20%,7.25%,11.30%,23.51%,23.04%,10.76%,6.79%,3.90%,4.44%
Los Angeles Kings,28-18-7,0.594,58.87%,3.28%,2.95%,5.28%,8.80%,20.83%,24.58%,13.26%,9.07%,5.48%,6.49%
Pittsburgh Penguins,24-16-9,0.582,52.20%,4.25%,3.75%,6.56%,10.47%,22.77%,23.72%,11.59%,7.49%,4.37%,5.03%
Buffalo Sabres,26-19-4,0.571,49.96%,4.63%,4.06%,7.02%,11.04%,23.29%,23.27%,11.02%,7.01%,4.05%,4.62%
Calgary Flames,24-17-9,0.570,54.82%,3.84%,3.42%,6.04%,9.81%,22.07%,24.15%,12.25%,8.09%,4.78%,5.56%
Washington Capitals,27-20-6,0.566,51.41%,4.38%,3.86%,6.72%,10.67%,22.96%,23.57%,11.39%,7.32%,4.25%,4.88%
Nashville Predators,24-18-6,0.562,58.33%,3.35%,3.01%,5.38%,8.93%,21.00%,24.54%,13.13%,8.93%,5.38%,6.36%
New York Islanders,25-22-5,0.529,54.67%,3.86%,3.44%,6.07%,9.85%,22.12%,24.13%,12.21%,8.05%,4.75%,5.52%
Detroit Red Wings,21-19-8,0.521,61.96%,2.89%,2.62%,4.74%,8.04%,19.75%,24.70%,14.00%,9.86%,6.08%,7.32%
Florida Panthers,24-22-6,0.519,56.09%,3.66%,3.26%,5.80%,9.49%,21.70%,24.31%,12.57%,8.39%,4.99%,5.83%
Ottawa Senators,24-23-3,0.510,58.64%,3.31%,2.97%,5.32%,8.85%,20.90%,24.56%,13.20%,9.01%,5.44%,6.43%
Philadelphia Flyers,21-21-9,0.500,62.05%,2.88%,2.61%,4.73%,8.02%,19.72%,24.70%,14.02%,9.89%,6.10%,7.34%
St. Louis Blues,23-25-3,0.480,64.94%,2.55%,2.33%,4.25%,7.32%,18.61%,24.63%,14.68%,10.67%,6.72%,8.24%
Vancouver Canucks,20-26-3,0.439,64.74%,2.57%,2.35%,4.28%,7.36%,18.69%,24.64%,14.63%,10.62%,6.68%,8.17%
Montréal Canadiens,20-27-4,0.431,72.38%,1.82%,1.68%,3.13%,5.58%,15.40%,23.52%,16.08%,12.85%,8.66%,11.27%
San Jose Sharks,15-25-11,0.402,69.11%,2.12%,1.95%,3.61%,6.34%,16.88%,24.18%,15.53%,11.87%,7.74%,9.78%
Arizona Coyotes,16-28-6,0.380,70.02%,2.03%,1.87%,3.47%,6.12%,16.47%,24.03%,15.70%,12.14%,7.99%,10.17%
Anaheim Ducks,16-29-5,0.370,78.40%,1.32%,1.23%,2.33%,4.25%,12.47%,21.44%,16.65%,14.68%,10.68%,14.97%
Chicago Blackhawks,15-29-4,0.354,73.80%,1.69%,1.57%,2.93%,5.26%,14.74%,23.13%,16.28%,13.29%,9.09%,12.02%
Columbus Blue Jackets,15-32-4,0.333,75.09%,1.58%,1.47%,2.76%,4.98%,14.12%,22.73%,16.42%,13.68%,9.51%,12.75%
